15028	Cooper FD	Cooper Landing Volunteer Fire/EMS
15031	Hope-Sun FD	Hope-Sunrise Volunteer Fire/EMS
15032	Prov-Seward	Providence Seward Medical Center
15034	Kenai PD Trn	Kenai Police Training
15035	Kenai City 1	Kenai City Government 1
15038	Kenai City 1	Kenai City Government 2
15046	Kenai FD Dis	Kenai Fire Dispatch
15047	Kenai FD Tac	Kenai Fire Tactical
15051	E Kenai Emerg	Eastern Kenai Peninsula Emergency Service Agencies
15052	KPB East ES	East Kenai Emergency Services Dispatch
15101	West Kenai ES	Western Emergency Services Dispatch
15121	Kachemak Emg	Kachemak Emergency Services
15136	Ninilchik Emg	Ninilchik Emergency Services
15140	Barb Hghts FD	Barbara Heights Fire Department - Seldovia
15301	Seward PD 1	Seward Police 1
15302	Seward PD 2	Seward Police 2
15303	Seward PW	Seward Public Works
15501	Homer PD	Homer Police
15511	Homer FD	Homer Fire Department
16660	C Multigroup	Multigroup
16661	C Hail	Hail
16662	C Cmd 2	Command 2
16663	C Cmd 3	Command 3
16664	C Cmd 4	Command 4
16665	C Cmd 5	Command 5
16666	C Cmd 6	Command 6
16681	IC Admin 8	Admin 8
16682	IC Admin 7	Admin 7
16683	IC Admin 6	Admin 6
16684	IC Admin 5	Admin 5
16685	IC Admin 4	Admin 4
16686	IC Admin 3	Admin 3
16687	IC Admin 2	Admin 2
16688	IC Admin 1	Admin 1
16701	LE B Tac 1	LE Region B Tac 1
16702	LE B Tac 2	LE Region B Tac 2
16703	LE E Tac 1	LE Region E Tac 1
16704	LE E Tac 2	LE Region E Tac 2
16705	LE State Tac 1	LE Statewide Tac 1
16706	LE Jt Tac 3	LE Joint Ops Tac 3
16707	LE Jt Tac 4	LE Joint Ops Tac 4
17001	Drugs Main	Main Operations
17002	Drug Ops 1	Operations
17003	Drug Ops 2	Operations
17004	Drug Ops 3	Operations
17031	FBI Ops 1	Operations
17032	FBI Ops 2	Operations
17033	FBI Ops 3	Operations
17034	FBI Ops 4	Operations
17035	FBI Ops 5	Operations
17036	FBI Surv	Surveillance
17037	FBI Ops 6	Operations
17038	FBI Ops 7	Operations
17041	FBI Ops/Surv	Operations/Surveillance
17043	FBI Ops/Surv	Operations/Surveillance
17044	FBI Ops/Surv	Operations/Surveillance
17045	FBI Ops/Surv	Operations/Surveillance
17047	FBI Ops/Surv	Operations/Surveillance
17051	IRS Invest 1	IRS Investigations 1
17052	IRS Invest 2	IRS Investigations 2
17070	TSA Calling	Calling Channel
17071	TSA Ops 1	Ops 1
17072	TSA Ops 2	Ops 2
17073	TSA Ops 3	Ops 3
17074	TSA Ops 4	Ops 4
17075	TSA Ops 5	Ops 5
17076	TSA Ops 6	Ops 6
17077	TSA Ops 7	Ops 7
17078	TSA Ops 8	Ops 8
17079	TSA Ops 9	Ops 9
17091	Chugach N.F.	Chugach National Forest
17092	Tongass N.F.	Tongass National Forest
17093	USFS Command	Command
17094	USFS Aviation	Aviation
17100	ANG Air 01	Operations
17103	ANG Air 02	Operations
17104	ANG Air 03	Operations
17105	ANG Air 04	Operations
17109	ANG Air 05	Operations
17113	ANG Air 06	Operations
17114	ANG Air 07	Operations
17115	ANG Air 08	Operations
17140	ANG Air 09	Operations
17141	ANG Air 10	Operations
17142	ANG Air 11	Operations
17143	ANG Air 12	Operations
17153	ANG Air 13	Operations
17201	AK ATF 1	Operations
17202	AK ATF 2	Operations
17211	USMS Ops	Operations
17212	USMS Warrants 1	Warrants 1
17213	USMS Warrants 2	Warrants 2
17214	USMS Ops	Operations
17215	USMS North Ops	North Operations
17216	US F	Operations
17221	Nat Parks 1 Disp	Dispatch
17222	Nat Parks 2	Operations 2
17223	Nat Parks 3	Operations 3
17224	Nat Parks 4	Operations 4
17225	Nat Parks 5	Operations 5
17226	Nat Parks 6	Operations 6
17227	Nat Parks 7	Operations 7
17241	USPS Inspect 1	Postal Inspectors 1
17242	USPS Inspect 2	Postal Inspectors 2
17255	USPS OIG 1	Office of Inspector General 1
17256	USPS OIG 2	Office of Inspector General 2
17311	NOAA Law SC	NOAA Southcentral Region
17401	FPS Disp	Dispatch
17402	FPS Ops	Operations
17411	Homeland Secur 1	Homeland Security Investigations 1
17412	Homeland Secur 2	Homeland Security Investigations 2
17500	CAP Main	Main
17501	CAP Interior	Interior (IN) channel
17502	CAP So-Cent	South Central (SC) channel
17503	CAP Southeast	Southeast Channel
17926	Nat Guard 17926	Alaska National Guard
17929	Nat Guard 17929	Alaska National Guard
17931	Nat Guard	Alaska National Guard
17932	Nat Guard	Alaska National Guard
17944	Nat Guard 17944	Alaska National Guard
17945	Nat Guard	Alaska National Guard
17946	Nat Guard	Alaska National Guard
18301	AST Judge Anchor	Anchorage Judicial Services
18302	AST Judge C	C Judicial Services
18303	AST Judge E	E Judicial Services
18304	AST Kodiak	C Kodiak Dispatch
18305	AST NCIC C	C NCIC
18306	AST TrafficC	C Traffic
18307	AST Tac C	C Tac
18309	AST VillageC	C Village Public Safety
18311	Village PS	Village Public Safety Statewide
18312	AST VillageD	D Village Public Safety
18502	JBER Events	Base Events
18503	JBER Events	Base Events
18505	JBER Events	Base Events
18506	JBER Events	Base Events
18507	JBER Events	Base Events
18508	JBER Events	Base Events
18521	JBER BaseOps	Base Operations
18522	JBER BaseOps	Base Operations
18523	JBER BaseOps	Base Operations
18524	EDF Airfield	Elmendorf Road/Airfield Maintenance
18525	EDF Airfield	Elmendorf Road/Airfield Maintenance
18526	EDF Airfield	Elmendorf Road/Airfield Maintenance
18527	EDF Airfield	Elmendorf Road/Airfield Maintenance
18528	JBER BaseOps	Base Operations
18529	JBER BaseOps	Base Operations
18532	JBER BaseOps	Base Operations
18535	JBER BaseOps	Base Operations
18538	JBER BaseOps	Base Operations
18539	Hillberg Ski	Hillberg Ski Area
18541	JBER Base Op	Base Operations
18544	JBER BaseOps	Base Operations
18548	JBER BaseOps	Base Operations
18551	Red Flag 1	Red Flag Exercises
18552	Red Flag 2	Red Flag Exercises
18553	Red Flag 3	Red Flag Exercises
18554	Red Flag 4	Red Flag Exercises
18555	JBER BaseOps	Base Operations
18556	JBER BaseOps	Base Operations
18562	JBER BaseOps	Base Operations
18571	JBER BaseOps	Base Operations
18580	JBER BaseOps	Base Operations
18583	JBER BaseOps	Base Operations
18590	JBER BaseOps	Base Operations
18591	Elmend Med 1	Medics
18592	JBER FD Tac 1	Fire/EMS Tac 1
18593	JBER FD Tac 2	Fire/EMS Tac 2
18594	JBER FD Tac 3	Fire/EMS Tac 3
18595	JBER FD Tac 4	Fire/EMS Tac 4
18596	JBER BaseOps	Base Operations
18597	JBER BaseOps	Base Operations
18599	JBER BaseOps	Base Operations
18605	JBER EDF Air	EDF Airfield Ops
18606	EDF Ground	EDF Ground Operations
18608	EDF Airfield	EDF Airfield Operations
18610	JBER BaseOps	Base Operations
18611	JBER BaseOps	Base Operations
18612	JBER Weapons	Weapons
18613	JBER BaseOps	Base Operations
18620	JBER BaseOps	Base Operations
18621	Hospital Sec	Hospital Security
18622	Elmend ER 1	E.R. Recovery
18623	JBER BaseOps	Base Operations
18624	JBER BaseOps	Base Operations
18625	EDF Airfield	EDF Airfield Operations
18626	JBER BaseOps	Base Operations
18632	EDF Mach 1	EDF Mach
18633	EDF Mach 2	EDF Mach
18634	EDF Mach 3	EDF Mach
18636	EDF Airfield	EDF Airfield Operations
18638	JBER EDFmach	EDF Mach
18639	JBER Base Op	Base Operations
18641	JBER EDFmach	EDF Mach
18642	JBER Fueling	Aircraft Fueling and Maintenance
18645	JBER BaseOps	Base Operations
18646	JBER Base Op	Base Operations
18648	JBER BaseOps	Base Operations
18651	JBER BaseOps	Base Operations
18652	JBER Fleet	Fleet
18653	JBER BaseOps	Base Operations
18655	EDF Aircraft	EDF Aircraft Operations
18656	JBER BaseOps	Base Operations
18662	JBER BaseOps	Base Operations
18670	JBER BaseOps	Base Operations
18671	JBER PD 1	Police Operations
18672	JBER PD 2	Police Operations
18673	JBER PD 3	Police Operations
18675	JBER PD Disp	Police Dispatch
18676	JBER BaseOps	Base Operations
18677	JBER BaseOps	Base Operations
18682	JBER BaseOps	Base Operations
18683	JBER BaseOps	Base Operations
18684	JBER Base Op	Base Operations
18685	JBER BaseOps	Base Operations
18686	JBER BaseOps	Base Operations
18692	JBER Transpt	Personnel Transportation Operations
18693	JBER Trans	Base Transportation Ops
18694	JBER BaseOps	Base Operations
18695	JBER BaseOps	Base Operations
18698	JBER BaseOps	Base Operations
18699	JBER BaseOps	Base Operations
18711	JBER BaseOps	Base Operations
18734	JBER BaseOps	Base Operations
18751	JBER BaseOps	Base Operations
18752	JBER BaseOps	Base Operations
18761	JBER Wildlif	Wildlife Enforcement
18771	JBER Train	Training Ops
18776	JBER Train	Training Ops
18778	JBER Train	Training Ops
18779	JBER Train	Training Ops
18780	JBER Train	Training Ops
18781	JBER Train	Training Ops
18783	JBER Train	Training Ops
18801	JBER Law Invest	Law Enforcement Investigations/Surveillance
18803	JBER BaseOps	Base Operations
18819	JBER BaseOps	Base Operations
18828	JBER FD Disp	Fire/EMS Dispatch
18829	JBER Crash Net	Fire/EMS Crash Net
18830	JBER FD Tac 5	Fire/EMS Tac 5
18831	JBER FD Tac 6	Fire/EMS Tac 6
18832	JBER FD Tac 7	Fire/EMS Tac 7
18833	JBER FD Tac 8	Fire/EMS Tac 8
18834	JBER FD Tac 9	Fire/EMS Tac 9
18900	Rich CP2	Courtesy Patrol (Call-sign CP2)
18903	Rich CP Drag	Courtesy Patrol Office/Staff Duty (Call-sign Dragon)
18905	Elmend Joint	Joint Taskforce Alaska Tac
18907	JBER BaseOps	Base Operations
18916	JBER BaseOps	Base Operations
18985	JBER BaseOps	Base Operations
18991	Elmend Event	Event
19002	JBER BaseOps	Base Operations
19004	JBER BaseOps	Base Operations
19605	JBER BaseOps	Base Operations
19608	JBER Army Tr	Army Training Ops
19610	JBER BaseOps	Base Operations
19611	JBER BaseOps	Base Operations
19612	JBER BaseOps	Base Operations
19613	JBER BaseOps	Base Operations
19625	JBER BaseOps	Base Operations
19628	JBER BaseOps	Base Operations
19630	JBER BaseOps	Base Operations
19631	JBER Base Op	Base Operations
19632	JBER BaseOps	Base Operations
19639	JBER BaseOps	Base Operations
19643	JBER BaseOps	Base Operations
19645	JBER BaseOps	Base Operations
19646	JBER BaseOps	Base Operations
19656	JBER BaseOps	Base Operations
19657	JBER BaseOps	Base Operations
19658	JBER BaseOps	Base Operations
19662	JBER Roads	Roads
19663	JBER Roads	Roads
19664	JBER Roads	Roads
19666	Rich Roads 1	Roads 1
19669	JBER Roads	Roads
19670	Rich Roads 3	Roads 3
19675	JBER BaseOps	Base Operations
19677	JBER BaseOps	Base Operations
19678	JBER BaseOps	Base Operations
19682	JBER BaseOps	Base Operations
19685	JBER BaseOps	Base Operations
19687	JBER BaseOps	Base Operations
19688	JBER BaseOps	Base Operations
19689	JBER BaseOps	Base Operations
19701	JBER BaseOps	Base Operations
19703	JBER BaseOps	Base Operations
19730	JBER BaseOps	Base Operations
19732	JBER BaseOps	Base Operations
19734	JBER BaseOps	Base Operations
19735	JBER BaseOps	Base Operations
19738	JBER BaseOps	Base Operations
19741	Rich Range 1	Range 1
19742	Rich Range 2	Range 2
19743	Rich Range 3	Range 3
19744	Rich Range 4	Range 4
19745	Rich Range 5	Range 5
19746	Rich Range 6	Range 6
19747	Rich Range 7	Range 7
19748	Rich Range 8	Range 8
19749	Rich Range 9	Range Control
19762	JBER BaseOps	Base Operations
19768	FtWain Op 01	Ops
19769	FtWain Op 02	Ops
19770	FtWain Op 03	Ops
19771	FtWain Op 04	Ops
19772	FtWain Op 05	Ops
19773	FtWain Op 06	Ops
19774	FtWain Op 07	Ops
19775	FtWain Op 08	Ops
19776	FtWain Op 09	Ops
19777	FtWain Cmd	Command
19778	FtWain ANL	ANL
19779	FtWain Op 10	Ops
19780	FtWain Op 11	Ops
19781	FtWain Op 12	Ops
19782	FtWain Op 13	Ops
19783	FtWain Op 14	Ops
19784	FtWain Op 15	Ops
21201	ADOT BlackRp	Black Rapids
21202	ADOT Central	Central
21203	ADOT Fairbnk	Fairbanks
21204	ADOT Montana	Montana creek
21205	ADOT Galena	Galena
21206	ADOT Ruby	Ruby
21207	ADOT Track 1	Track 1
21208	ADOT Track 2	Track 2
21209	ADOT Flag 1	Flag 1
21210	ADOT Flag 2	Flag 2
21211	ADOT Avalan1	Avalanche 1
21212	ADOT Ops 1	Ops 1
21214	ADOT Delta	Delta
21215	ADOT Eagle	Eagle
21216	ADOT Northwa	Northway
21217	ADOT N Ops 7	Ops 7
21219	ADOT Tok	Tok
